type,address,item type,score,stauts,name,price,upc
walmart,2701 N Texas St,Peanut-Butter,8.75,,,,
,,,,In Stock,"PBfit Organic All-Natural Peanut Butter Powder, 15 oz",868,89792200275
,,,,In Stock,"SKIPPY Natural Creamy Peanut Butter, 15 oz",248,3760010506
,,,,In Stock,"Great Value No Stir Creamy Natural Peanut Butter Spread, 40 oz",332,7874200831
,,,,Limited Stock,Nuttzo Seed Butter Peanut,697,89469700227
walmart,2701 N Texas St,Meat,10.0,,,,
,,,,In Stock,"Morningstar Farms Meat Lovers Vegan Burgers, 4oz, 4 count",648,2898910229
,,,,In Stock,"All Natural* 80% Lean/20% Fat Ground Beef Chuck Tray, 1 lb",447,7874226954
,,,,In Stock,"All Natural* 85% Lean/15% Fat Angus Steak Patties 12 Count, 4 lb",1692,7874226951
,,,,In Stock,"PRICE PER LB: Foster Farms Party Pack Chicken Wings, 4.75-5.0 lb",227,25945200000
,,,,In Stock,Morningstar Farms Frozen Veggie Hot Dogs 8.4 oz 6 ct,283,2898957799
walmart,2701 N Texas St,Bottled-Water,6.25,,,,
,,,,In Stock,"Propel Electrolyte Water, Berry, 16.9 oz Bottles, 12 Count",638,5200051233
,,,,Limited Stock,"Propel Electrolyte Water, Kiwi Strawberry, 16.9 oz Bottles, 12 Count",638,5200051200
,,,,Limited Stock,"Propel Electrolyte Water, Black Cherry, 16.9 oz Bottles, 12 Count",638,5200013318
,,,,Limited Stock,HFactor - Hydrogen Infused Water - 11 fl. oz.,100,85242700606
walmart,2701 N Texas St,Masks,7.0,,,,
,,,,In Stock,"Masqueology Collagen Hydro Gel Gold Face Mask, 0.98 Oz, 2 Count",250,85758100360
,,,,In Stock,"SheaMoisture African Black Soap Clarifying Mud Mask Packette Sulfate-Free, 0.5 oz",248,76430227072
,,,,Limited Stock,Swissco Spa Bella Delux Mask,484,76989888105
,,,,Limited Stock,So Fresh So Clean Powerful Peel Off Black Mask,688,81465502578
,,,,Limited Stock,e.l.f. Hydrating Bubble Mask,1400,60933257021
walmart,2701 N Texas St,Paper-Towels,9.0,,,,
,,,,In Stock,"Sparkle Pick-A-Size Paper Towels, 6 Double Rolls",644,030400221002
,,,,In Stock,"Great Value Everyday Strong Paper Towels, Split Sheet, 4 Double Rolls",382,078742210797
,,,,In Stock,"Bounty Select-A-Size Paper Towels, White, 2 Double Rolls = 4 Regular Rolls",464,037000762287
,,,,In Stock,"Sparkle Pick-A-Size Paper Towels, 4 Double Rolls",498,030400221026
,,,,Limited Stock,"Viva Multi-Surface Cloth Paper Towels, Choose-A-Sheet, 6 Double Rolls (=12 Regular Rolls)",998,036000508642
walmart,2701 N Texas St,Hand-sanitizer,10.0,,,,
,,,,In Stock,"Equate Travel Size Moisturizing Hand Sanitizer with Aloe, 3 fl oz",97,681131346580
,,,,In Stock,"Hello Bello Hand Sanitizer Spray, Apple Blossom, 1.65oz",184,810007189925
,,,,In Stock,"Way To Celebrate Easter Hand Sanitizer, Butterflies",10,190425083594
,,,,In Stock,HAND SANITIZER ASST,10,190425083563
,,,,In Stock,"Hand Sanitizer with Cupcake Holder, 30 mL.",25,843736038004
walmart,2701 N Texas St,Wet-Wipes,12.0,,,,
,,,,In Stock,"2 Pack, Equate Beauty Makeup Remover Wipes, 80 Count",597,68113107281
,,,,In Stock,"2 Pack, Equate Beauty Night-Time Soothing Makeup Remover Wipes, 40 ct",597,68113111216
,,,,In Stock,"Neutrogena Fragrance Free Makeup Remover Facial Wipes, 25 ct., 2 Pack",897,7050120014
,,,,In Stock,Neutrogena Makeup Remover Cleansing Towelettes,493,7050111090
,,,,In Stock,"Olay Daily Facials Deep Purifying Cleansing Cloths, 66 Count",1197,7560904130
walmart,2701 N Texas St,Hot-Dogs,20.0,,,,
,,,,In Stock,"Ball Park Beef Hot Dogs, Original Length, 16 Count",526,5450019334
,,,,In Stock,"Ball Park Beef Hot Dogs, Original Length, 8 Count",264,5450019322
,,,,In Stock,"Lightlife Smart Dogs Meatless Veggie Hot Dogs, 8 count, 12 oz",297,4345410080
,,,,In Stock,"Oscar Mayer Classic Uncured Beef Hot Dogs, 10 ct - 15.0 oz Package",294,4470007505
,,,,In Stock,"Ball Park Angus Beef Hot Dogs, Bun Size Length, 8 Count",294,5450010174
walmart,2701 N Texas St,Rice,6.666666666666667,,,,
,,,,In Stock,"Mahatma Jasmine Brown Rice, 2-Pound Bag",268,1740022259
,,,,Limited Stock,"Botan Extra Fancy Calrose Rice, 20 lb",1748,1115214409
,,,,Limited Stock,"InnovAsian Vegetable Fried Rice Frozen Asian Side Dish, 18 oz",374,69511912014
walmart,2701 N Texas St,Frozen-Foods,19.0,,,,
,,,,In Stock,HOT POCKETS Four Cheese Pizza Frozen Sandwiches 12 ct. Box | Frozen Food With Reduced-Fat Mozzarella Cheese,962,4369507521
,,,,In Stock,HOT POCKETS Philly Steak & Cheese Frozen Sandwiches 12 ct. Box Frozen Food Cheesesteak With Reduced-Fat Mozzarella Cheese,962,4369507520
,,,,In Stock,"Tyson Fully Cooked Fun Nuggets with Whole Grain Breading, 29 oz. (Frozen)",497,2370001452
,,,,In Stock,"STOUFFERS CLASSICS Lasagna with Meat & Sauce, Party Size Frozen Meal",1178,1380055131
,,,,In Stock,Healthy Choice Simply Steamers Frozen Dinner Grilled Chicken & Broccoli Alfredo 9.15 Ounce,258,7265500124
walmart,2701 N Texas St,Pasta,9.0,,,,
,,,,In Stock,Barilla Gluten Free Oven-Ready Pasta Lasagne 10 oz,239,7680800793
,,,,In Stock,BIRDS EYE Steamfresh Pasta Marinara,297,1450001745
,,,,In Stock,Pasta Lensi Yellow Lentil Spaghetti 10z,344,4732591044
,,,,In Stock,"Great Value Cheese Tortellini Pasta, 19 oz",277,7874200945
,,,,Limited Stock,Pasta Roni White Cheddar & Broccoli Flavor Pasta Mix 5.5 oz. Box,100,1530044033
walmart,2701 N Texas St,Beans,10.0,,,,
,,,,In Stock,BUSHS Original Baked Beans 117 oz.,698,3940001628
,,,,In Stock,"BUSH'S Savory Beans, Black Bean Fiesta, 15.5 oz Canned Beans",134,3940001194
,,,,In Stock,S&W - Pinto Chili Beans - Low Sodium - 15.5 Oz. Can,78,7227348472
,,,,In Stock,C & W Frozen Foods C & W Petite Whole Beans 14 oz,192,7033200055
,,,,In Stock,BIRDS EYE C and W Premium Quality Tiny Whole Green Beans,192,7033200053
walmart,2701 N Texas St,Chicken,16.0,,,,
,,,,In Stock,Perdue Harvestland NAE Frozen Boneless Skinless Indiviually Wrapped Chicken Breasts (2.25 lbs.),988,7274554618
,,,,In Stock,"Tyson Grilled & Ready Fully Cooked Grilled Chicken Breast Strips, 22 oz. (Frozen)",668,2370001625
,,,,In Stock,"Great Value Boneless Skinless Chicken Breast, 5 lb. (Frozen)",976,7874202661
,,,,In Stock,"Great Value Boneless Skinless Chicken Breast, 3 lb. (Frozen)",594,7874237394
,,,,In Stock,"Applegate Naturals Gluten-Free Chicken Nuggets, 16.0 OZ",987,2531705519
walmart,2701 N Texas St,Canned-Food,13.0,,,,
,,,,In Stock,BUSHS Original Baked Beans 117 oz.,698,3940001628
,,,,In Stock,"(18 Pack) Fancy Feast Gravy Wet Cat Food Variety Pack, Medleys Florentine Collection, 3 oz. Cans",1458,5000057282
,,,,In Stock,"Hormel Foods BLACK LABEL Can Ham, 48 oz",942,3760023221
,,,,In Stock,"Muir Glen, Organic Crushed Fire Roasted Tomatoes, 28 oz",243,72534229043
,,,,In Stock,"BUSH'S Savory Beans, Black Bean Fiesta, 15.5 oz Canned Beans",134,3940001194
walmart,2701 N Texas St,Egg,18.0,,,,
,,,,In Stock,"Marketside Organic Cage Free Brown Eggs, Large, 12 count, 24 oz",362,68113112277
,,,,In Stock,"Marketside Large Cage Free Brown Eggs, 12 count, 24 oz",248,68113112276
,,,,In Stock,"Egg-Land's Best Farm Fresh Extra Large White Grade AA Eggs, 18 Count",412,71514111356
,,,,In Stock,"Egg-Land's Best Extra Large White Grade A Eggs, 12 Count",282,71514172928
,,,,In Stock,"Great Value Large White Grade AA Eggs, 18 Count",204,7874214839
walmart,2701 N Texas St,Milk,10.0,,,,
,,,,In Stock,"Horizon Organic 1% Lowfat Shelf Stable Chocolate Milk, 8 Oz., 12 Count",1198,74236500270
,,,,In Stock,"Horizon Organic 1% Lowfat Shelf-Stable DHA Omega-3 Chocolate Milk, 8 Oz., 6 Count",684,74236500432
walmart,2701 N Texas St,Bread,10.0,,,,
,,,,In Stock,Canyon Bakehouse Gluten Free Ancient Grain Bread 15 oz,498,85358400229
walmart,10355 Trinity Pkwy,Peanut-Butter,10.0,,,,
,,,,In Stock,"Great Value No Stir Creamy Natural Peanut Butter Spread, 40 oz",332,7874200831
,,,,In Stock,"SunButter Natural Sunflower Butter, 16 oz",482,73753919120
,,,,In Stock,Nuttzo Seed Butter Peanut,697,89469700227
,,,,In Stock,"MaraNatha Light Roast Creamy Almond Butter, 12 Ounce Jar",698,5165119240
,,,,In Stock,"MaraNatha Dark Roast Creamy Almond Butter, 12 Ounce Jar",698,5165119241
walmart,10355 Trinity Pkwy,Meat,10.0,,,,
,,,,In Stock,"All Natural* 80% Lean/20% Fat Ground Beef Chuck Tray, 1 lb",447,7874226954
,,,,In Stock,"Morningstar Farms Meat Lovers Vegan Burgers, 4oz, 4 count",648,2898910229
,,,,In Stock,"Ball Park Fully-Cooked Flame Grilled Original Beef Patties, 6 Count (Frozen)",697,5450019145
walmart,10355 Trinity Pkwy,Bottled-Water,10.0,,,,
,,,,In Stock,"Propel Electrolyte Water, Black Cherry, 16.9 oz Bottles, 12 Count",638,5200013318
,,,,In Stock,"Propel Electrolyte Water, Berry, 16.9 oz Bottles, 12 Count",638,5200051233
,,,,In Stock,"Propel Electrolyte Water, Kiwi Strawberry, 16.9 oz Bottles, 12 Count",638,5200051200
,,,,In Stock,HFactor - Hydrogen Infused Water - 11 fl. oz.,100,85242700606
walmart,10355 Trinity Pkwy,Toilet-Paper,10.0,,,,
,,,,In Stock,"Scott 1000 Toilet Paper, 20 Rolls, 20,000 Sheets",1427,5400037551
